"","drug_name","category1","category2"
"1752","chlormezanone","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1753","alpha-asarone","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1754","thiocolchicoside","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1755","picrotin","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1756","daa-1106","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1757","nefiracetam","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1758","lorediplon","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1759","rac-bhff","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1760","bemegride","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1761","loreclezole","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1762","cl-218872","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1763","ocinaplon","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1764","pivagabine","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1765","3-methyl-gaba","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1766","guvacine","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1767","nnc-05-2090","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1768","zk-93423","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1769","l-838417","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1770","2-hydroxysaclofen","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1771","cgs-20625","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1772","ncs-382","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1773","alpidem","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1774","tiagabine","Membrane Transporter/Ion Channel, Neuronal Signaling","GABA Receptor"
"1775","zatebradine","Membrane Transporter/Ion Channel","HCN Channel"
"1776","ivabradine","Membrane Transporter/Ion Channel","HCN Channel"
"1777","corticosterone","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease, Membrane Transporter/Ion Channel, Neuronal Signaling","Glucocorticoid Receptor, Endogenous Metabolite, iGluR"
"1778","nmda","Membrane Transporter/Ion Channel, Neuronal Signaling, Metabolic Enzyme/Protease","iGluR, Endogenous Metabolite"
"1779","midafotel","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1780","cnqx","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1781","nbqx","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1782","dnqx","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1783","piracetam","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1784","ampalex","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1785","traxoprodil","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1786","d-serine","Membrane Transporter/Ion Channel, Neuronal Signaling, Metabolic Enzyme/Protease","iGluR, Endogenous Metabolite"
"1787","mdl-29951","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1788","ciq","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1789","cyclothiazide","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1790","felbamate","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1791","aniracetam","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR, iGluR"
"1792","mibampator","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1793","perzinfotel","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1794","sym-2081","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1795","l-701324","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1796","ubp-302","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1797","sdz-220-581","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1798","eliprodil","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1799","l-701252","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1800","ro-25-6981","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1801","cgp-37849","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1802","budipine","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1803","dqp-1105","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1804","atpa","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1805","idra-21","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1806","l-689560","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1807","flupirtine","Membrane Transporter/Ion Channel, Neuronal Signaling","Potassium Channel, iGluR"
"1808","gyki-52466","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1809","sdz-220-040","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1810","homoquinolinic-acid","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1811","aptiganel","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1812","gavestinel","Membrane Transporter/Ion Channel, Neuronal Signaling","iGluR"
"1813","pnu-120596","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1814","varenicline","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1815","levamisole","Membrane Transporter/Ion Channel, Neuronal Signaling, Anti-infection","nAChR, Parasite"
"1816","cytisine","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1817","ccmi","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1818","a-867744","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1819","chlorisondamine-diiodide","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1820","sib-1553a","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1821","4bp-tqs","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1822","rivanicline","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1823","evp-6124","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1824","lupanine","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1825","pozanicline","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1826","pha-568487","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1827","lobeline","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR, Dopamine Transporter"
"1828","ub-165","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1829","ns-9283","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1830","benzoquinonium-dibromide","Membrane Transporter/Ion Channel, Neuronal Signaling","nAChR"
"1831","kn-62","Neuronal Signaling, Membrane Transporter/Ion Channel","CaMK, P2X Receptor"
"1832","jnj-47965567","Membrane Transporter/Ion Channel","P2X Receptor"
"1833","5-bdbd","Membrane Transporter/Ion Channel","P2X Receptor"
"1834","a-438079","Membrane Transporter/Ion Channel","P2X Receptor"
"1835","a-317491","Membrane Transporter/Ion Channel","P2X Receptor"
"1836","a-804598","Membrane Transporter/Ion Channel","P2X Receptor"
"1837","a-839977","Membrane Transporter/Ion Channel","P2X Receptor"
"1838","ro-3","Membrane Transporter/Ion Channel","P2X Receptor"
"1839","e-4031","Membrane Transporter/Ion Channel","Potassium Channel"
"1840","tram-34","Membrane Transporter/Ion Channel","Potassium Channel"
"1841","minoxidil","Membrane Transporter/Ion Channel, Metabolic Enzyme/Protease","Potassium Channel, Endogenous Metabolite"
"1842","quinine","Anti-infection, Membrane Transporter/Ion Channel","Dengue virus, Flavivirus, Parasite, Potassium Channel"
"1843","dofetilide","Membrane Transporter/Ion Channel","Potassium Channel"
"1844","hydrochlorothiazide","Stem Cell/Wnt, TGF-beta/Smad, Membrane Transporter/Ion Channel","TGF-beta/Smad, Potassium Channel"
"1845","senicapoc","Membrane Transporter/Ion Channel","Potassium Channel"
"1846","levcromakalim","Membrane Transporter/Ion Channel","Potassium Channel"
"1847","ropivacaine","Membrane Transporter/Ion Channel","Sodium Channel, Potassium Channel"
"1848","ml277","Membrane Transporter/Ion Channel","Potassium Channel"
"1849","linopirdine","Membrane Transporter/Ion Channel, Neuronal Signaling","Potassium Channel, TRP Channel"
"1850","ml365","Membrane Transporter/Ion Channel","Potassium Channel"
"1851","glipizide","Membrane Transporter/Ion Channel","Potassium Channel"
"1852","pinacidil","Membrane Transporter/Ion Channel","Potassium Channel"
"1853","nateglinide","Membrane Transporter/Ion Channel, Metabolic Enzyme/Protease","Potassium Channel, Dipeptidyl Peptidase"
"1854","nicorandil","Membrane Transporter/Ion Channel","Potassium Channel"
"1855","repaglinide","Membrane Transporter/Ion Channel","Potassium Channel"
"1856","ska-31","Membrane Transporter/Ion Channel","Potassium Channel"
"1857","flindokalner","Membrane Transporter/Ion Channel","Potassium Channel"
"1858","flecainide","Membrane Transporter/Ion Channel","Potassium Channel, Sodium Channel"
"1859","ns-11021","Membrane Transporter/Ion Channel","Potassium Channel"
"1860","ml213","Membrane Transporter/Ion Channel","Potassium Channel"
"1861","indapamide","Membrane Transporter/Ion Channel","Potassium Channel"
"1862","disopyramide","Membrane Transporter/Ion Channel","Sodium Channel, Potassium Channel"
"1863","dcebio","Membrane Transporter/Ion Channel","Potassium Channel"
"1864","ica-069673","Membrane Transporter/Ion Channel","Potassium Channel"
"1865","tifenazoxide","Membrane Transporter/Ion Channel","Potassium Channel"
"1866","1-ebio","Membrane Transporter/Ion Channel","Potassium Channel"
"1867","bms-191011","Membrane Transporter/Ion Channel","Potassium Channel"
"1868","pd-118057","Membrane Transporter/Ion Channel","Potassium Channel"
"1869","y-26763","Membrane Transporter/Ion Channel","Potassium Channel"
"1870","cromakalim","Membrane Transporter/Ion Channel","Potassium Channel"
"1871","meclofenamic-acid","Membrane Transporter/Ion Channel, Cytoskeleton, Metabolic Enzyme/Protease","Fat Mass and Obesity-associated Protein (FTO), Potassium Channel, Gap Junction Protein, Endogenous Metabolite"
"1872","vu591","Membrane Transporter/Ion Channel","Potassium Channel"
"1873","tram-39","Membrane Transporter/Ion Channel","Potassium Channel"
"1874","dpo-1","Membrane Transporter/Ion Channel","Potassium Channel"
"1875","vernakalant","Membrane Transporter/Ion Channel","Potassium Channel"
"1876","mitiglinide","Membrane Transporter/Ion Channel","Potassium Channel"
"1877","halofantrine","Anti-infection, Membrane Transporter/Ion Channel","Parasite, Potassium Channel"
"1878","ns-8","Membrane Transporter/Ion Channel","Potassium Channel"
"1879","ica-110381","Membrane Transporter/Ion Channel","Potassium Channel"
"1880","ibutilide","Membrane Transporter/Ion Channel","Potassium Channel"
"1881","y-27152","Membrane Transporter/Ion Channel","Potassium Channel"
"1882","mesoridazine","Membrane Transporter/Ion Channel","Potassium Channel"
"1883","pk-thpp","Membrane Transporter/Ion Channel","Potassium Channel"
"1884","azimilide","Membrane Transporter/Ion Channel","Potassium Channel"
"1885","phenytoin","Induced Disease Models Products, Membrane Transporter/Ion Channel, Anti-infection","Five Sense Organs Disease Models, Sodium Channel, Virus Protease"
"1886","a-803467","Membrane Transporter/Ion Channel","Sodium Channel"
"1887","vinpocetine","Membrane Transporter/Ion Channel, NF-κB, Metabolic Enzyme/Protease","Sodium Channel, IKK, Phosphodiesterase (PDE)"
"1888","primidone","Membrane Transporter/Ion Channel","Sodium Channel"
"1889","ica-121431","Membrane Transporter/Ion Channel","Sodium Channel"
"1890","benzocaine","Membrane Transporter/Ion Channel, Anti-infection","Sodium Channel, Bacterial"
"1891","licarbazepine","Membrane Transporter/Ion Channel","Sodium Channel"
"1892","nisoxetine","Membrane Transporter/Ion Channel","Monoamine Transporter, Sodium Channel"
"1893","a-887826","Membrane Transporter/Ion Channel","Sodium Channel"
"1894","eslicarbazepine-acetate","Neuronal Signaling, Membrane Transporter/Ion Channel","Beta-secretase, Sodium Channel"
"1895","benzonatate","Membrane Transporter/Ion Channel","Sodium Channel"
"1896","methocarbamol","Membrane Transporter/Ion Channel","Sodium Channel"
"1897","pf-04885614","Membrane Transporter/Ion Channel","Sodium Channel"
"1898","tc-n-1752","Membrane Transporter/Ion Channel","Sodium Channel"
"1899","nav-26","Membrane Transporter/Ion Channel","Sodium Channel"
"1900","atomoxetine","Neuronal Signaling, Membrane Transporter/Ion Channel","Serotonin Transporter, Sodium Channel"
"1901","co-102862","Membrane Transporter/Ion Channel","Sodium Channel"
"1902","tocainide","Membrane Transporter/Ion Channel","Sodium Channel"
"1903","pilsicainide","Membrane Transporter/Ion Channel","Sodium Channel"
"1904","benzamil","Membrane Transporter/Ion Channel","Na+/Ca2+ Exchanger, Sodium Channel"
"1905","probenecid","Membrane Transporter/Ion Channel, Neuronal Signaling, Anti-infection","TRP Channel, Bacterial, HIV"
"1906","hc-067047","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1907","hc-030031","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1908","gsk2193874","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1909","a-967079","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1910","sb-366791","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1911","icilin","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1912","sb-705498","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1913","ml204","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1914","rn-1734","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1915","rn-1747","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1916","amg-517","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1917","rq-00203078","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1918","bctc","Membrane Transporter/Ion Channel, Neuronal Signaling, Protein Tyrosine Kinase/RTK, GPCR/G Protein","TRP Channel, Insulin Receptor, CGRP Receptor"
"1919","sn-2","Membrane Transporter/Ion Channel, Neuronal Signaling, Anti-infection","Dengue virus, TRP Channel, Flavivirus"
"1920","ap-18","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1921","nonivamide","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1922","jnj-17203212","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1923","olvanil","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1924","m8-b","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1925","tc-i-2014","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1926","sb-452533","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1927","a-784168","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1928","mk-2295","Membrane Transporter/Ion Channel, Neuronal Signaling","TRP Channel"
"1929","gsk2330672","Membrane Transporter/Ion Channel","Apical Sodium-Dependent Bile Acid Transporter"
"1930","btb06584","Membrane Transporter/Ion Channel","ATP Synthase"
"1931","elacridar","Membrane Transporter/Ion Channel","P-glycoprotein, BCRP"
"1932","pci-29732","Protein Tyrosine Kinase/RTK, Membrane Transporter/Ion Channel","Btk, BCRP"
"1933","selinexor","Membrane Transporter/Ion Channel","CRM1"
"1934","kpt-185","Membrane Transporter/Ion Channel","CRM1"
"1935","kpt-276","Membrane Transporter/Ion Channel","CRM1"
"1936","evans-blue","Membrane Transporter/Ion Channel, Neuronal Signaling","EAAT, iGluR"
"1937","way-213613","Membrane Transporter/Ion Channel","EAAT"
"1938","phloretin","Membrane Transporter/Ion Channel, Metabolic Enzyme/Protease","SGLT, Endogenous Metabolite, GLUT"
"1939","bitopertin","Membrane Transporter/Ion Channel, Neuronal Signaling","GlyT"
"1940","sarcosine","Metabolic Enzyme/Protease, Neuronal Signaling, Membrane Transporter/Ion Channel","Endogenous Metabolite, GlyT"
"1941","tetrabenazine","Membrane Transporter/Ion Channel","Monoamine Transporter"
"1942","azd3965","Membrane Transporter/Ion Channel","Monocarboxylate Transporter"
"1943","ar-c155858","Membrane Transporter/Ion Channel","Monocarboxylate Transporter"
"1944","cariporide","Membrane Transporter/Ion Channel","Na+/H+ Exchanger (NHE)"
"1945","digitoxin","Apoptosis, Anti-infection, Membrane Transporter/Ion Channel, Neuronal Signaling","Bcl-2 Family, Caspase, Apoptosis, HSV, Na+/K+ ATPase, Calcium Channel"
"1946","phlorizin","Membrane Transporter/Ion Channel","SGLT, Na+/K+ ATPase"
"1947","deslanoside","Membrane Transporter/Ion Channel, Metabolic Enzyme/Protease","Na+/K+ ATPase, Drug Metabolite"
"1948","prilocaine","Membrane Transporter/Ion Channel","Na+/K+ ATPase"
"1949","chlorpropamide","Membrane Transporter/Ion Channel","Na+/K+ ATPase"
"1950","istaroxime","Membrane Transporter/Ion Channel","Na+/K+ ATPase"
"1951","chloroprocaine","Membrane Transporter/Ion Channel","Na+/K+ ATPase"
"1952","bumetanide","Membrane Transporter/Ion Channel","NKCC"
"1953","azosemide","Membrane Transporter/Ion Channel","NKCC"
"1954","tariquidar","Membrane Transporter/Ion Channel","P-glycoprotein"
"1955","valspodar","Membrane Transporter/Ion Channel","P-glycoprotein"
"1956","reversan","Membrane Transporter/Ion Channel","P-glycoprotein"
"1957","zosuquidar","Membrane Transporter/Ion Channel","P-glycoprotein"
"1958","dofequidar","Membrane Transporter/Ion Channel","P-glycoprotein"
"1959","lansoprazole","Membrane Transporter/Ion Channel, Anti-infection, Metabolic Enzyme/Protease","Proton Pump, Bacterial, Phospholipase"
"1960","vonoprazan","Membrane Transporter/Ion Channel, Anti-infection","Proton Pump, Bacterial"
"1961","tenatoprazole","Membrane Transporter/Ion Channel","Proton Pump"
"1962","esomeprazole","Membrane Transporter/Ion Channel, Anti-infection","Proton Pump, Bacterial"
"1963","omeprazole-magnesium","Membrane Transporter/Ion Channel","Proton Pump"
"1964","revaprazan","Membrane Transporter/Ion Channel","Proton Pump"
"1965","tiludronate","Membrane Transporter/Ion Channel","Proton Pump"
"1966","empagliflozin","Membrane Transporter/Ion Channel","SGLT"
"1967","dapagliflozin","Membrane Transporter/Ion Channel","SGLT"
"1968","canagliflozin","Membrane Transporter/Ion Channel","SGLT"
"1969","ertugliflozin","Membrane Transporter/Ion Channel","SGLT"
"1970","sotagliflozin","Membrane Transporter/Ion Channel","SGLT"
"1971","tofogliflozin","Membrane Transporter/Ion Channel","SGLT"
"1972","lesinurad","Membrane Transporter/Ion Channel","URAT1"
"1973","verinurad","Membrane Transporter/Ion Channel","URAT1"
"1974","amlexanox","NF-κB","IKK"
"1975","bms-345541","NF-κB","IKK"
"1976","bms-345541","NF-κB","IKK"
"1977","azd3264","NF-κB","IKK"
"1978","oltipraz","Metabolic Enzyme/Protease, Anti-infection, NF-κB","HIF/HIF Prolyl-Hydroxylase, HIV, Keap1-Nrf2, Parasite"
"1979","bardoxolone","NF-κB","Keap1-Nrf2"
"1980","nk-252","NF-κB","Keap1-Nrf2"
"1981","safranal","NF-κB","Keap1-Nrf2"
"1982","pyridoxine","Metabolic Enzyme/Protease, NF-κB","Endogenous Metabolite, Keap1-Nrf2"
"1983","indole-3-carbinol","NF-κB, Immunology/Inflammation, Metabolic Enzyme/Protease","NF-κB, Aryl Hydrocarbon Receptor, E1/E2/E3 Enzyme, Endogenous Metabolite"
"1984","sulindac","NF-κB, Immunology/Inflammation","NF-κB, PD-1/PD-L1"
"1985","euk-134","NF-κB","NF-κB"
"1986","guaiacol","Immunology/Inflammation, NF-κB, Metabolic Enzyme/Protease","COX, NF-κB, Endogenous Metabolite"
"1987","aurothioglucose","NF-κB, Anti-infection, Metabolic Enzyme/Protease, Immunology/Inflammation","NF-κB, HIV, Reactive Oxygen Species"
"1988","sp-100030","NF-κB","NF-κB"
"1989","chlorogenic-acid","Metabolic Enzyme/Protease, NF-κB, Immunology/Inflammation, Anti-infection","HIF/HIF Prolyl-Hydroxylase, Reactive Oxygen Species, Bacterial, Influenza Virus, Endogenous Metabolite"
"1990","akba","Metabolic Enzyme/Protease, NF-κB, Immunology/Inflammation","HIF/HIF Prolyl-Hydroxylase, Reactive Oxygen Species, Endogenous Metabolite"
"1991","dapsone","Anti-infection, NF-κB, Metabolic Enzyme/Protease, Immunology/Inflammation","Antibiotic, Parasite, Bacterial, Reactive Oxygen Species"
"1992","w-54011","Immunology/Inflammation, NF-κB, Metabolic Enzyme/Protease","Complement System, Reactive Oxygen Species"
"1993","norgestrel","Immunology/Inflammation, NF-κB, Metabolic Enzyme/Protease","Reactive Oxygen Species"
"1994","succinobucol","Immunology/Inflammation, NF-κB, Metabolic Enzyme/Protease","Reactive Oxygen Species"
"1995","efaproxiral","Immunology/Inflammation, NF-κB, Metabolic Enzyme/Protease","Reactive Oxygen Species"
"1996","zofenopril-calcium","Metabolic Enzyme/Protease, NF-κB, Immunology/Inflammation","Angiotensin-converting Enzyme (ACE), Reactive Oxygen Species"
"1997","stobadine","Immunology/Inflammation, NF-κB, Metabolic Enzyme/Protease","Reactive Oxygen Species"
"1998","methyl-aminolevulinate","Immunology/Inflammation, NF-κB, Metabolic Enzyme/Protease","Reactive Oxygen Species"
"1999","ecabet","Immunology/Inflammation, NF-κB, Metabolic Enzyme/Protease, Anti-infection","Reactive Oxygen Species, Bacterial"
"2000","oridonin","PI3K/Akt/mTOR, Anti-infection","Akt, Bacterial"
"2001","arq-092","PI3K/Akt/mTOR, Anti-infection","Akt, Parasite"
"2002","uprosertib","PI3K/Akt/mTOR","Akt"
"2003","miltefosine","PI3K/Akt/mTOR, Anti-infection","Akt, HIV, Parasite"
"2004","a-674563","PI3K/Akt/mTOR","Akt"
"2005","gsk2110183","PI3K/Akt/mTOR","Akt"
"2006","doxepin","PI3K/Akt/mTOR","mTOR, PI3K, Akt"
"2007","pre-084","Neuronal Signaling, PI3K/Akt/mTOR, Immunology/Inflammation","Sigma Receptor, Akt, NO Synthase"
"2008","ly2090314","PI3K/Akt/mTOR, Stem Cell/Wnt","GSK-3"
"2009","tideglusib","PI3K/Akt/mTOR, Stem Cell/Wnt","GSK-3"
"2010","ar-a014418","PI3K/Akt/mTOR, Stem Cell/Wnt","GSK-3"
"2011","1-azakenpaullone","PI3K/Akt/mTOR, Stem Cell/Wnt","GSK-3"
"2012","azd1080","PI3K/Akt/mTOR, Stem Cell/Wnt","GSK-3"
"2013","azd2858","PI3K/Akt/mTOR, Stem Cell/Wnt","GSK-3"
"2014","chir-98014","PI3K/Akt/mTOR, Stem Cell/Wnt","GSK-3"
"2015","a-1070722","PI3K/Akt/mTOR, Stem Cell/Wnt","GSK-3"
"2016","l-leucine","PI3K/Akt/mTOR, Metabolic Enzyme/Protease","mTOR, Endogenous Metabolite"
"2017","ku-0063794","PI3K/Akt/mTOR","mTOR"
"2018","voxtalisib","PI3K/Akt/mTOR","PI3K, mTOR"
"2019","way-600","PI3K/Akt/mTOR","mTOR"
"2020","pki-179","PI3K/Akt/mTOR","PI3K, mTOR"
"2021","wye-687","PI3K/Akt/mTOR","mTOR, PI3K"
"2022","gsk2334470","PI3K/Akt/mTOR","PDK-1"
"2023","alpelisib","PI3K/Akt/mTOR","PI3K"
"2024","duvelisib","PI3K/Akt/mTOR","PI3K"
"2025","taselisib","PI3K/Akt/mTOR","PI3K"
"2026","gsk2636771","PI3K/Akt/mTOR","PI3K"
"2027","tgx-221","PI3K/Akt/mTOR","PI3K"
"2028","pik-93","PI3K/Akt/mTOR, Anti-infection","PI4K, PI3K, Virus Protease"
"2029","azd8186","PI3K/Akt/mTOR","PI3K"
"2030","tg100-115","PI3K/Akt/mTOR","PI3K"
"2031","mln1117","PI3K/Akt/mTOR","PI3K"
"2032","a66","PI3K/Akt/mTOR","PI3K"
"2033","as-252424","PI3K/Akt/mTOR","PI3K"
"2034","amg319","PI3K/Akt/mTOR","PI3K"
"2035","czc24832","PI3K/Akt/mTOR","PI3K"
"2036","acalisib","PI3K/Akt/mTOR","PI3K"
"2037","ch5132799","PI3K/Akt/mTOR","PI3K"
"2038","pik-294","PI3K/Akt/mTOR","PI3K"
"2039","pik-293","PI3K/Akt/mTOR","PI3K"
"2040","as-604850","PI3K/Akt/mTOR","PI3K"
"2041","mi-14","PI3K/Akt/mTOR, Anti-infection","PI4K, HCV"
"2042","apy0201","PI3K/Akt/mTOR, Immunology/Inflammation","PIKfyve, Interleukin Related"
"2043","aim-100","Protein Tyrosine Kinase/RTK","Ack1"
"2044","gnf-7","Protein Tyrosine Kinase/RTK","Bcr-Abl, Ack1"
"2045","gzd824","Protein Tyrosine Kinase/RTK","Bcr-Abl"
"2046","flumatinib","Protein Tyrosine Kinase/RTK","Bcr-Abl, c-Kit, PDGFR"
"2047","gnf-2","Protein Tyrosine Kinase/RTK, Anti-infection","Bcr-Abl, SARS-CoV"
"2048","gnf-5","Protein Tyrosine Kinase/RTK","Bcr-Abl"
"2049","ppy-a","Protein Tyrosine Kinase/RTK","Bcr-Abl"
"2050","ibrutinib","Protein Tyrosine Kinase/RTK, PROTAC","Btk, Ligands for Target Protein for PROTAC"
"2051","acalabrutinib","Protein Tyrosine Kinase/RTK","Btk"
"2052","avl-292","Protein Tyrosine Kinase/RTK","Btk"
"2053","gdc-0834","Protein Tyrosine Kinase/RTK","Btk"
"2054","cnx-774","Protein Tyrosine Kinase/RTK","Btk"
"2055","az191","Protein Tyrosine Kinase/RTK","DYRK"
"2056","defactinib","Protein Tyrosine Kinase/RTK","FAK"
"2057","pf-562271","Protein Tyrosine Kinase/RTK","FAK, Pyk2"
"2058","cep-37440","Protein Tyrosine Kinase/RTK","Anaplastic lymphoma kinase (ALK), FAK"
"2059","pf-431396","Protein Tyrosine Kinase/RTK","Pyk2, FAK"
"2060","shp099","Protein Tyrosine Kinase/RTK, Metabolic Enzyme/Protease","SHP2, Phosphatase"
"2061","bis(maltolato)oxovanadium(iv)","Protein Tyrosine Kinase/RTK, Metabolic Enzyme/Protease","SHP2, Phosphatase"
"2062","wh-4-023","Protein Tyrosine Kinase/RTK","Src"
"2063","1-naphthyl-pp1","Protein Tyrosine Kinase/RTK, Apoptosis","Src, PKD"
"2064","tolimidone","Protein Tyrosine Kinase/RTK","Src"
"2065","tg-100801","Protein Tyrosine Kinase/RTK","VEGFR, FGFR, PDGFR, Src"
"2066","tg-100572","Protein Tyrosine Kinase/RTK","Src, VEGFR, PDGFR, FGFR"
"2067","fostamatinib","Protein Tyrosine Kinase/RTK","Syk, FLT3"
"2068","gs-9973","Protein Tyrosine Kinase/RTK","Syk"
"2069","r112","Protein Tyrosine Kinase/RTK","Syk"
"2070","er-27319","Protein Tyrosine Kinase/RTK","Syk"
"2071","prt062607","Protein Tyrosine Kinase/RTK","Syk"
"2072","alectinib","Protein Tyrosine Kinase/RTK","Anaplastic lymphoma kinase (ALK)"
"2073","ceritinib","Protein Tyrosine Kinase/RTK","Anaplastic lymphoma kinase (ALK), Insulin Receptor, IGF-1R"
"2074","brigatinib","Protein Tyrosine Kinase/RTK","Anaplastic lymphoma kinase (ALK)"
"2075","gsk1838705a","Protein Tyrosine Kinase/RTK","Anaplastic lymphoma kinase (ALK), IGF-1R, Insulin Receptor"
"2076","r-268712","TGF-beta/Smad, Stem Cell/Wnt, Protein Tyrosine Kinase/RTK","TGF-β Receptor, TGF-beta/Smad, Anaplastic lymphoma kinase (ALK)"
